traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
9001.0,2024-01-01T00:00Z,London,Chelsea,1333.0,23.50016103310611,8.0,Low,,685.0
9002.0,2024-01-01T01:00Z,London,Islington,2462.0,56.44574566750026,3.0,Medium,,5321.0
9003.0,2024-01-01T02:00Z,London,Camden,2040.0,48.68595175996468,1.0,Medium,,5233.0
9004.0,2024-01-01T03:00Z,London,Chelsea,659.0,51.852676173851485,6.0,High,,6348.0
9005.0,01/01/2024 04AM,,Camden,3657.0,60.45550213614345,2.0,,Damaged,9882.0
9006.0,01/01/2024 05AM,,Camden,2544.0,38.04810163490537,6.0,Low,Damaged,6645.0
9007.0,2024-01-01T06:00Z,London,Camden,4530.0,21.963542117579625,5.0,,Wet,9506.0
9008.0,01/01/2024 07AM,London,Camden,3354.0,109.06503157049059,4.0,,Dry,8739.0
9009.0,,,,1917.0,70.5425565938382,4.0,Low,Damaged,873.0
9010.0,2024-01-01 09:00,,,4905.0,3.292640281567234,,,Wet,2085.0
9011.0,01/01/2024 10AM,London,,887.0,116.79939094282713,0.0,,Dry,7868.0
9012.0,01/01/2024 11AM,London,Southwark,174.0,40.16698014775157,1.0,,Damaged,8690.0
9013.0,01/01/2024 12PM,,Chelsea,1966.0,112.761679418345,8.0,Low,,3981.0
9014.0,01/01/2024 01PM,,Camden,1126.0,25.22568774732597,1.0,Medium,Wet,261.0
9015.0,2024-01-01 14:00,,Islington,,-8.724110872244669,1.0,,Dry,7326.0
9016.0,2024-01-01 15:00,,Southwark,16.0,-6.407263159781653,7.0,Low,Snowy,1618.0
9017.0,2024-01-01 16:00,London,Islington,3784.0,74.57090593625688,4.0,Low,Snowy,6353.0
9018.0,2024-01-01T17:00Z,,Camden,2955.0,65.22780362319561,2.0,Medium,,42834.0
9019.0,2024-01-01T18:00Z,,Chelsea,1390.0,-11.776793421022264,0.0,High,Snowy,
9020.0,01/01/2024 07PM,,Islington,17053.0,-3.5452582718528625,0.0,,Dry,9702.0
9021.0,2024-01-01 20:00,,,2280.0,113.99018430236255,9.0,Low,Snowy,2800.0
9022.0,2024-01-01 21:00,,Chelsea,3746.0,28.64645781041205,1.0,,Damaged,4543.0
9023.0,2024-01-01T22:00Z,,Kensington,4431.0,28.728935070517608,2.0,,Snowy,30862.0
9024.0,01/01/2024 11PM,,Islington,2237.0,5.206010021081395,2.0,Medium,,9030.0
9025.0,2024-01-02T00:00Z,London,Camden,608.0,107.2481609513088,10.0,,,8619.0
9026.0,2024-01-02T01:00Z,London,Islington,2005.0,,3.0,Low,,2122.0
9027.0,02/01/2024 02AM,,Kensington,109.0,23.341136580927888,1.0,,Wet,9454.0
9028.0,2024-01-02T03:00Z,London,Islington,4530.0,93.28230842492437,3.0,High,Dry,7876.0
9029.0,2024-01-02 04:00,London,Chelsea,3966.0,96.49297945924232,4.0,,Wet,2469.0
9030.0,2024-01-02T05:00Z,,Camden,1038.0,53.37575920214581,10.0,,,7942.0
9031.0,2024-01-02 06:00,,Southwark,228.0,37.073321291637974,3.0,Low,Dry,5577.0
9032.0,2024-01-02T07:00Z,London,,3002.0,28.836664474040926,2.0,High,,2089.0
9033.0,2024-01-02 08:00,,Kensington,4504.0,64.9185097723601,6.0,Low,Damaged,3792.0
9034.0,2024-01-02T09:00Z,London,Chelsea,1158.0,101.36390911484176,0.0,High,Damaged,462.0
9035.0,02/01/2024 10AM,London,Chelsea,3470.0,100.6983631576593,3.0,Medium,Wet,276.0
9036.0,2024-01-02 11:00,,Chelsea,2010.0,114.1167397966918,,,Snowy,354.0
9037.0,2024-01-02T12:00Z,,Southwark,3994.0,66.18910675225109,6.0,Low,Wet,9945.0
9038.0,02/01/2024 01PM,London,Southwark,,96.08524622620486,7.0,,Dry,
9039.0,2024-01-02 14:00,,Chelsea,2537.0,71.78531584682779,10.0,High,Snowy,7318.0
,2024-01-02T15:00Z,,Islington,4215.0,84.11977298660553,0.0,Low,Damaged,8636.0
9041.0,02/01/2024 04PM,,,738.0,11.197687360053244,3.0,,,6193.0
9042.0,2024-01-02T17:00Z,London,,13915.0,53.09912273482008,0.0,,Snowy,1380.0
9043.0,2024-01-02 18:00,,Southwark,233.0,106.8150467891654,10.0,Low,Snowy,4172.0
9044.0,2024-01-02T19:00Z,,Islington,2413.0,85.85751087290845,2.0,High,Wet,2159.0
9045.0,2024-01-02 20:00,,Chelsea,4793.0,16.66991920832517,,High,Snowy,8074.0
9046.0,02/01/2024 09PM,London,Kensington,4738.0,40.52392351839682,1.0,Medium,Dry,9607.0
9047.0,2024-01-02 22:00,London,Camden,3356.0,,2.0,,Wet,4621.0
9048.0,2024-01-02T23:00Z,,Chelsea,3246.0,103.41141700446153,2.0,,Dry,46560.0
9049.0,2024-01-03 00:00,London,Islington,4078.0,10.707672402031797,10.0,High,Snowy,2552.0
9050.0,2024-01-03 01:00,,Islington,1078.0,70.75484929858341,9.0,High,Wet,2686.0
9051.0,2024-01-03 02:00,,Kensington,2840.0,77.43294047808628,8.0,,Dry,1691.0
9052.0,2024-01-03 03:00,,Kensington,979.0,73.2142466595709,4.0,Medium,Snowy,9593.0
9053.0,2024-01-03 04:00,,Chelsea,4622.0,78.96269321247959,2.0,,,
9054.0,2024-01-03T05:00Z,,Southwark,2123.0,9.435502146284655,4.0,High,Damaged,4669.0
9055.0,2024-01-03T06:00Z,London,,3465.0,15.49906739277445,0.0,High,Damaged,9975.0
9056.0,2024-01-03 07:00,,Camden,4017.0,31.398348534609585,0.0,,Snowy,455.0
9057.0,03/01/2024 08AM,,,3968.0,66.18636238817808,0.0,Low,Damaged,9378.0
9058.0,2024-01-03 09:00,London,Camden,1362.0,67.11343091320754,3.0,,,8604.0
9059.0,2024-01-03T10:00Z,London,Chelsea,1113.0,116.59865535644064,5.0,Low,Snowy,329.0
9060.0,2024-01-03T11:00Z,,Camden,,112.83941184977284,6.0,High,Snowy,8450.0
9061.0,03/01/2024 12PM,,Chelsea,1603.0,53.302164752085744,2.0,High,,8769.0
9062.0,03/01/2024 01PM,,Islington,4178.0,111.27120611226724,9.0,Medium,Wet,
9063.0,03/01/2024 02PM,,Islington,3377.0,16.61043298864155,1.0,High,Wet,482.0
9064.0,2024-01-03 15:00,,Camden,3372.0,8.430055442525626,4.0,Medium,Dry,2270.0
9065.0,2024-01-03T16:00Z,,,1911.0,35.6507872409521,8.0,Medium,Snowy,2480.0
9066.0,2024-01-03 17:00,London,Camden,4123.0,92.34284037917108,3.0,High,,3680.0
9067.0,2024-01-03T18:00Z,London,Islington,107.0,79.54193567826653,36.0,Low,Wet,5371.0
9068.0,2024-01-03 19:00,,Kensington,2061.0,46.32160648898749,6.0,Low,,7100.0
9069.0,03/01/2024 08PM,London,Kensington,2374.0,,10.0,High,Snowy,2078.0
9070.0,2024-01-03T21:00Z,,Islington,1362.0,-12.562417462361982,2.0,Low,Damaged,3268.0
9071.0,2024-01-03 22:00,,Kensington,1208.0,108.65403551489602,4.0,Low,Damaged,4531.0
9072.0,03/01/2024 11PM,,,4076.0,85.81683186185444,5.0,,Damaged,2497.0
9073.0,04/01/2024 12AM,,Chelsea,4963.0,52.94572424184165,2.0,High,Wet,5045.0
9074.0,2024-01-04T01:00Z,,Camden,3421.0,115.56627633187273,2.0,Low,Snowy,24417.0
9075.0,2024-01-04T02:00Z,,Camden,2176.0,41.03335894176318,4.0,High,Dry,9954.0
9076.0,04/01/2024 03AM,,Islington,1269.0,49.068641967093264,3.0,Medium,Wet,149.0
9077.0,04/01/2024 04AM,,Chelsea,564.0,95.80464281550158,5.0,Medium,Dry,5207.0
9078.0,Invalid,,Kensington,4091.0,7.1826140646249765,2.0,High,Wet,472.0
9079.0,2024-01-04 06:00,London,Camden,3407.0,105.71650014117357,0.0,,Wet,532.0
9080.0,04/01/2024 07AM,London,,3066.0,7.958716358336767,5.0,Low,,1233.0
9081.0,04/01/2024 08AM,,Camden,2116.0,83.62862741240649,6.0,Low,Snowy,9562.0
9082.0,2024-01-04T09:00Z,London,Camden,246.0,114.60687636985566,1.0,Low,Snowy,29906.0
9083.0,2024-01-04T10:00Z,,Chelsea,2486.0,34.67647256318813,8.0,,,4028.0
9084.0,04/01/2024 11AM,London,Southwark,752.0,80.75113153391172,7.0,,Wet,359.0
9085.0,2099-00-00 99:99,,,3371.0,117.77043378071316,3.0,,Wet,9428.0
9086.0,04/01/2024 01PM,London,,3267.0,9.258303006066054,8.0,,Dry,1995.0
9087.0,2024-01-04 14:00,London,Chelsea,982.0,36.35554220141753,4.0,Low,Damaged,3546.0
9088.0,2024-01-04 15:00,London,Kensington,1339.0,78.12605802257903,3.0,,Snowy,6103.0
9089.0,2099-00-00 99:99,London,Camden,4146.0,36.68079297656852,2.0,Low,,6635.0
9090.0,2024-01-04 17:00,London,Camden,1341.0,102.90110417381743,8.0,High,Snowy,9181.0
